REGION,DISTRICT,WARD
Kaskazini Pemba,Wete,Kipangani
Kaskazini Pemba,Wete,Mtambwe Kaskazini
Kaskazini Pemba,Wete,Fundo
Kaskazini Pemba,Wete,Mchanga Mdogo
Kaskazini Pemba,Wete,Kambini
Kaskazini Pemba,Wete,Kojani
Kaskazini Pemba,Wete,Ole
Kaskazini Pemba,Wete,Kangagani
Kaskazini Pemba,Wete,Kiuyu Minungwini
Kaskazini Pemba,Wete,Piki
Kaskazini Pemba,Wete,Kisiwani
Kaskazini Pemba,Wete,Gando
Kaskazini Pemba,Wete,Ukunjwi
Kaskazini Pemba,Wete,Pandani
Kaskazini Pemba,Wete,Shengejuu
Kaskazini Pemba,Wete,Bopwe
Kaskazini Pemba,Wete,Utaani
Kaskazini Pemba,Wete,Mtambwe Kusini
Kaskazini Pemba,Wete,Selem
Kaskazini Pemba,Wete,Kinyikani
Kaskazini Pemba,Wete,Chwale
Kaskazini Pemba,Wete,Maziwani
Kaskazini Pemba,Wete,Mpambani
Kaskazini Pemba,Wete,Mjini Ole
Kaskazini Pemba,Wete,Kiuyu Kigongoni
Kaskazini Pemba,Wete,Mzambarauni Takao
Kaskazini Pemba,Wete,Junguni
Kaskazini Pemba,Wete,Kiungoni
Kaskazini Pemba,Wete,Pembeni
Kaskazini Pemba,Wete,Kizimbani
Kaskazini Pemba,Wete,Limbani
Kaskazini Pemba,Wete,Jadida
Kaskazini Pemba,Micheweni,Micheweni
Kaskazini Pemba,Micheweni,Msuka Mashariki
Kaskazini Pemba,Micheweni,Kinowe
Kaskazini Pemba,Micheweni,Tumbe Mashariki
Kaskazini Pemba,Micheweni,Mgogoni
Kaskazini Pemba,Micheweni,Shumba Viamboni
Kaskazini Pemba,Micheweni,Finya
Kaskazini Pemba,Micheweni,Konde
Kaskazini Pemba,Micheweni,Wingwi Mapofu
Kaskazini Pemba,Micheweni,Kiuyu Mbuyuni
Kaskazini Pemba,Micheweni,Makangale
Kaskazini Pemba,Micheweni,Wingwi Njuguni
Kaskazini Pemba,Micheweni,Shumba Mjini
Kaskazini Pemba,Micheweni,Majenzi
Kaskazini Pemba,Micheweni,Mjini Wingwi
Kaskazini Pemba,Micheweni,Msuka Magharibi
Kaskazini Pemba,Micheweni,Chimba
Kaskazini Pemba,Micheweni,Tumbe Magharibi
Kaskazini Pemba,Micheweni,Sizini
Kaskazini Pemba,Micheweni,Kinyasini
Kaskazini Pemba,Micheweni,Mihogoni
Kaskazini Pemba,Micheweni,Kifundi
Kaskazini Pemba,Micheweni,Maziwa Ng'ombe
Kaskazini Pemba,Micheweni,Tondooni
Kaskazini Pemba,Micheweni,Mtemani
Kaskazini Pemba,Micheweni,Wingwi Mjananza
Kaskazini Pemba,Micheweni,Mlindo
