REGION,DISTRICT,WARD
Kaskazini Unguja,Kaskazini A,Mkokotoni
Kaskazini Unguja,Kaskazini A,Mto wa Pwani
Kaskazini Unguja,Kaskazini A,Pale
Kaskazini Unguja,Kaskazini A,Kivunge
Kaskazini Unguja,Kaskazini A,Tumbatu Gomani
Kaskazini Unguja,Kaskazini A,Jongowe
Kaskazini Unguja,Kaskazini A,Mkwajuni
Kaskazini Unguja,Kaskazini A,Kibeni
Kaskazini Unguja,Kaskazini A,Muwange
Kaskazini Unguja,Kaskazini A,Pitanazako
Kaskazini Unguja,Kaskazini A,Potowa
Kaskazini Unguja,Kaskazini A,Fukuchani
Kaskazini Unguja,Kaskazini A,Kidoti
Kaskazini Unguja,Kaskazini A,Tazari
Kaskazini Unguja,Kaskazini A,Kigunda
Kaskazini Unguja,Kaskazini A,Nungwi
Kaskazini Unguja,Kaskazini A,Matemwe
Kaskazini Unguja,Kaskazini A,Kijini
Kaskazini Unguja,Kaskazini A,Pwani Mchangani
Kaskazini Unguja,Kaskazini A,Gamba
Kaskazini Unguja,Kaskazini A,Moga
Kaskazini Unguja,Kaskazini A,Chaani Masingini
Kaskazini Unguja,Kaskazini A,Mcheza Shauri
Kaskazini Unguja,Kaskazini A,Chaani Kubwa
Kaskazini Unguja,Kaskazini A,Kikobweni
Kaskazini Unguja,Kaskazini A,Bandamaji
Kaskazini Unguja,Kaskazini A,Kinyasini
Kaskazini Unguja,Kaskazini A,Kandwi
Kaskazini Unguja,Kaskazini A,Chutama
Kaskazini Unguja,Kaskazini A,Kisongoni
Kaskazini Unguja,Kaskazini A,Kilindi
Kaskazini Unguja,Kaskazini A,Kilimani
Kaskazini Unguja,Kaskazini A,Uvivini
Kaskazini Unguja,Kaskazini A,Kidombo
Kaskazini Unguja,Kaskazini A,Bwereu
Kaskazini Unguja,Kaskazini A,Kigomani
Kaskazini Unguja,Kaskazini B,Misufini
Kaskazini Unguja,Kaskazini B,Makoba
Kaskazini Unguja,Kaskazini B,Mangapwani
Kaskazini Unguja,Kaskazini B,Fujoni
Kaskazini Unguja,Kaskazini B,Kiomba Mvua
Kaskazini Unguja,Kaskazini B,Donge Mchangani
Kaskazini Unguja,Kaskazini B,Mkadini
Kaskazini Unguja,Kaskazini B,Zingwe Zingwe
Kaskazini Unguja,Kaskazini B,Kitope
Kaskazini Unguja,Kaskazini B,Mahonda
Kaskazini Unguja,Kaskazini B,Mnyimbi
Kaskazini Unguja,Kaskazini B,Donge Mtambile
Kaskazini Unguja,Kaskazini B,Kinduni
Kaskazini Unguja,Kaskazini B,Donge Karange
Kaskazini Unguja,Kaskazini B,Donge Mbiji
Kaskazini Unguja,Kaskazini B,Donge Kipange
Kaskazini Unguja,Kaskazini B,Donge Vijibweni
Kaskazini Unguja,Kaskazini B,Upenja
Kaskazini Unguja,Kaskazini B,Kiwengwa
Kaskazini Unguja,Kaskazini B,Pangeni
Kaskazini Unguja,Kaskazini B,Kilombero
Kaskazini Unguja,Kaskazini B,Mgambo
Kaskazini Unguja,Kaskazini B,Muwanda
Kaskazini Unguja,Kaskazini B,Matetema
Kaskazini Unguja,Kaskazini B,Kidanzini
Kaskazini Unguja,Kaskazini B,Mbaleni
Kaskazini Unguja,Kaskazini B,Mafufuni
Kaskazini Unguja,Kaskazini B,Mkataleni
Kaskazini Unguja,Kaskazini B,Njia ya Mtoni
