REGION,DISTRICT,WARD
Kusini Pemba,Chake Chake,Chanjaani
Kusini Pemba,Chake Chake,Wawi
Kusini Pemba,Chake Chake,Pujini
Kusini Pemba,Chake Chake,Ziwani
Kusini Pemba,Chake Chake,Ndagoni
Kusini Pemba,Chake Chake,Kwale
Kusini Pemba,Chake Chake,Vitongoji
Kusini Pemba,Chake Chake,Ng'ambwa
Kusini Pemba,Chake Chake,Shungi
Kusini Pemba,Chake Chake,Chonga
Kusini Pemba,Chake Chake,Mgelema
Kusini Pemba,Chake Chake,Kilindi
Kusini Pemba,Chake Chake,Tibirinzi
Kusini Pemba,Chake Chake,Chachani
Kusini Pemba,Chake Chake,Wara
Kusini Pemba,Chake Chake,Mvumoni
Kusini Pemba,Chake Chake,Matale
Kusini Pemba,Chake Chake,Wesha
Kusini Pemba,Chake Chake,Uwandani
Kusini Pemba,Chake Chake,Madungu
Kusini Pemba,Chake Chake,Mgogoni
Kusini Pemba,Chake Chake,Dodo
Kusini Pemba,Chake Chake,Mbuzini
Kusini Pemba,Chake Chake,Michungwani
Kusini Pemba,Chake Chake,Kibokoni
Kusini Pemba,Chake Chake,Kichungwani
Kusini Pemba,Chake Chake,Msingini
Kusini Pemba,Chake Chake,Mkoroshoni
Kusini Pemba,Chake Chake,Mfikiwa
Kusini Pemba,Mkoani,Ng'ombeni
Kusini Pemba,Mkoani,Makombeni
Kusini Pemba,Mkoani,Makoongwe
Kusini Pemba,Mkoani,Shidi
Kusini Pemba,Mkoani,Mkanyageni
Kusini Pemba,Mkoani,Michenzani
Kusini Pemba,Mkoani,Chokocho
Kusini Pemba,Mkoani,Kisiwa Panza
Kusini Pemba,Mkoani,Kangani
Kusini Pemba,Mkoani,Kengeja
Kusini Pemba,Mkoani,Muambe
Kusini Pemba,Mkoani,Kiwani
Kusini Pemba,Mkoani,Mtambile
Kusini Pemba,Mkoani,Mizingani
Kusini Pemba,Mkoani,Ngwachani
Kusini Pemba,Mkoani,Chambani
Kusini Pemba,Mkoani,Wambaa
Kusini Pemba,Mkoani,Mbuguani
Kusini Pemba,Mkoani,Uweleni
Kusini Pemba,Mkoani,Mtangani
Kusini Pemba,Mkoani,Ukutini
Kusini Pemba,Mkoani,Chumbageni
Kusini Pemba,Mkoani,Mbuyuni
Kusini Pemba,Mkoani,Stahabu
Kusini Pemba,Mkoani,Kuukuu
Kusini Pemba,Mkoani,Mjimbini
Kusini Pemba,Mkoani,Shamiani
Kusini Pemba,Mkoani,Jombwe
Kusini Pemba,Mkoani,Kendwa
Kusini Pemba,Mkoani,Minazini
Kusini Pemba,Mkoani,Mgagadu
Kusini Pemba,Mkoani,Mkungu
Kusini Pemba,Mkoani,Changaweni
