REGION,DISTRICT,WARD
Kusini Unguja,Kati,Dunga Bweni
Kusini Unguja,Kati,Ubago
Kusini Unguja,Kati,Kidimni
Kusini Unguja,Kati,Machui
Kusini Unguja,Kati,Kiboje Muembeshauri
Kusini Unguja,Kati,Miwani
Kusini Unguja,Kati,Kiboje Mkwajuni
Kusini Unguja,Kati,Ghana
Kusini Unguja,Kati,Koani
Kusini Unguja,Kati,Mgeni Haji
Kusini Unguja,Kati,Uzini
Kusini Unguja,Kati,Mitakawani
Kusini Unguja,Kati,Tunduni
Kusini Unguja,Kati,Bambi
Kusini Unguja,Kati,Pagali
Kusini Unguja,Kati,Umbuji
Kusini Unguja,Kati,Mchangani
Kusini Unguja,Kati,Dunga Kiembeni
Kusini Unguja,Kati,Ndijani Mseweni
Kusini Unguja,Kati,Jendele
Kusini Unguja,Kati,Chwaka
Kusini Unguja,Kati,Marumbi
Kusini Unguja,Kati,Uroa
Kusini Unguja,Kati,Pongwe
Kusini Unguja,Kati,Jumbi
Kusini Unguja,Kati,Tunguu
Kusini Unguja,Kati,Binguni
Kusini Unguja,Kati,Cheju
Kusini Unguja,Kati,Bungi
Kusini Unguja,Kati,Unguja Ukuu Kaepwani
Kusini Unguja,Kati,Kikungwi
Kusini Unguja,Kati,Uzi
Kusini Unguja,Kati,Ng'ambwa
Kusini Unguja,Kati,Charawe
Kusini Unguja,Kati,Ukongoroni
Kusini Unguja,Kati,Michamvi
Kusini Unguja,Kati,Mpapa
Kusini Unguja,Kati,Unguja Ukuu Kaebona
Kusini Unguja,Kati,Ndijani Muembe Punda
Kusini Unguja,Kati,Tindini
Kusini Unguja,Kusini,Nganani
Kusini Unguja,Kusini,Kijini
Kusini Unguja,Kusini,Mzuri
Kusini Unguja,Kusini,Kajengwa
Kusini Unguja,Kusini,Jambiani Kikadini
Kusini Unguja,Kusini,Mtende
Kusini Unguja,Kusini,Kibuteni
Kusini Unguja,Kusini,Kizimkazi Dimbani
Kusini Unguja,Kusini,Kizimkazi Mkunguni
Kusini Unguja,Kusini,Muyuni A
Kusini Unguja,Kusini,Muyuni B
Kusini Unguja,Kusini,Muyuni C
Kusini Unguja,Kusini,Pete
Kusini Unguja,Kusini,Muungoni
Kusini Unguja,Kusini,Paje
Kusini Unguja,Kusini,Jambiani Kibigija
Kusini Unguja,Kusini,Bwejuu
Kusini Unguja,Kusini,Kitogani
Kusini Unguja,Kusini,Kiongoni
Kusini Unguja,Kusini,Tasani
Kusini Unguja,Kusini,Dongwe
