REGION,DISTRICT,WARD
Mjini Magharibi,Magharibi,Mwera
Mjini Magharibi,Magharibi,Mtoni
Mjini Magharibi,Magharibi,Bububu
Mjini Magharibi,Magharibi,Chuini
Mjini Magharibi,Magharibi,Kama
Mjini Magharibi,Magharibi,Mfenesini
Mjini Magharibi,Magharibi,Mwakaje
Mjini Magharibi,Magharibi,Fuoni Kibondeni
Mjini Magharibi,Magharibi,Kianga
Mjini Magharibi,Magharibi,Dole
Mjini Magharibi,Magharibi,Kizimbani
Mjini Magharibi,Magharibi,Mbuzini
Mjini Magharibi,Magharibi,Bumbwisudi
Mjini Magharibi,Magharibi,Maungani
Mjini Magharibi,Magharibi,Shakani
Mjini Magharibi,Magharibi,Kiembesamaki
Mjini Magharibi,Magharibi,Chukwani
Mjini Magharibi,Magharibi,Fumba
Mjini Magharibi,Magharibi,Bweleo
Mjini Magharibi,Magharibi,Dimani
Mjini Magharibi,Magharibi,Kombeni
Mjini Magharibi,Magharibi,Mwanakwerekwe
Mjini Magharibi,Magharibi,Mtopepo
Mjini Magharibi,Magharibi,Magogoni
Mjini Magharibi,Magharibi,Mtoni Kidatu
Mjini Magharibi,Magharibi,Mwanyanya
Mjini Magharibi,Magharibi,Fuoni Kijito Upele
Mjini Magharibi,Magharibi,Tomondo
Mjini Magharibi,Magharibi,Welezo
Mjini Magharibi,Magharibi,Mtufaani
Mjini Magharibi,Magharibi,Sharifumsa
Mjini Magharibi,Magharibi,Kibweni
Mjini Magharibi,Magharibi,Kihinani
Mjini Magharibi,Magharibi,Mombasa
Mjini Magharibi,Magharibi,Kisauni
Mjini Magharibi,Magharibi,Melinne
Mjini Magharibi,Magharibi,Pangawe
Mjini Magharibi,Magharibi,Kinuni
Mjini Magharibi,Magharibi,Nyamanzi
Mjini Magharibi,Mjini,Shangani
Mjini Magharibi,Mjini,Mkunazini
Mjini Magharibi,Mjini,Kiponda
Mjini Magharibi,Mjini,Malindi
Mjini Magharibi,Mjini,Mchangani
Mjini Magharibi,Mjini,Mlandege
Mjini Magharibi,Mjini,Mwembeladu
Mjini Magharibi,Mjini,Gulioni
Mjini Magharibi,Mjini,Makadara
Mjini Magharibi,Mjini,Shaurimoyo
Mjini Magharibi,Mjini,Mwembe Makumbi
Mjini Magharibi,Mjini,Chumbuni
Mjini Magharibi,Mjini,Kwamtipura
Mjini Magharibi,Mjini,Kilimahewa Juu
Mjini Magharibi,Mjini,Amani
Mjini Magharibi,Mjini,Nyerere
Mjini Magharibi,Mjini,Sebleni
Mjini Magharibi,Mjini,Magomeni
Mjini Magharibi,Mjini,Mpendae
Mjini Magharibi,Mjini,Urusi
Mjini Magharibi,Mjini,Kilimani
Mjini Magharibi,Mjini,Miembeni
Mjini Magharibi,Mjini,Kikwajuni Juu
Mjini Magharibi,Mjini,Kikwajuni Bondeni
Mjini Magharibi,Mjini,Kisima Majongoo
Mjini Magharibi,Mjini,Vikokotoni
Mjini Magharibi,Mjini,Muembetanga
Mjini Magharibi,Mjini,Muembeshauri
Mjini Magharibi,Mjini,Rahaleo
Mjini Magharibi,Mjini,Kwaalimsha
Mjini Magharibi,Mjini,Mikunguni
Mjini Magharibi,Mjini,Mkele
Mjini Magharibi,Mjini,Muungano
Mjini Magharibi,Mjini,Sogea
Mjini Magharibi,Mjini,Jang'ombe
Mjini Magharibi,Mjini,Kidongo Chekundu
Mjini Magharibi,Mjini,Matarumbeta
Mjini Magharibi,Mjini,Kwahani
Mjini Magharibi,Mjini,Kwaalinatu
Mjini Magharibi,Mjini,Karakana
Mjini Magharibi,Mjini,Kilimahewa Bondeni
Mjini Magharibi,Mjini,Kwa Wazee
Mjini Magharibi,Mjini,Migombani
Mjini Magharibi,Mjini,Meya
Mjini Magharibi,Mjini,Kisiwandui
